Price,Income,Distance,Shirota,Fed,Population
21.02,7288.533333,1240,64,szfo,978
21.05,5732.575,1240,64,szfo,978
21.06,5345.7,1240,64,szfo,978
21.06,4242.375,1240,64,szfo,978
21.06,7067.2,1240,64,szfo,978
21.1,6103.175,9170,43,dfo,1828
21.1,7982.3,1240,64,szfo,978
21.1,8281.5,1240,64,szfo,978
21.11,4756.575,1240,64,szfo,978
21.12,10813.925,1240,64,szfo,978
21.13,3785.025,1240,64,szfo,978
21.13,8658.325,1240,64,szfo,978
21.14,7202.125,1240,64,szfo,978
21.14,7947.775,1240,64,szfo,978
21.15,8009.433333,1240,64,szfo,978
21.16,6417.141667,1240,64,szfo,978
21.16,7145.058333,1240,64,szfo,978
21.17,9018.075,1240,64,szfo,978
21.18,8093.4,1240,64,szfo,978
21.18,12111.71667,1240,64,szfo,978
21.19,11929.8,1240,64,szfo,978
21.19,7584.616667,1240,64,szfo,978
21.19,4851.066667,1240,64,szfo,978
21.19,7579.075,1240,64,szfo,978
21.2,8838.2,1240,64,szfo,978
21.21,9468.3,1240,64,szfo,978
21.23,13518.48333,1240,64,szfo,978
21.23,7177.866667,1240,64,szfo,978
21.24,6206.533333,9170,43,dfo,1828
21.25,16673.525,1240,64,szfo,978
21.25,9688.875,1240,64,szfo,978
21.26,7476.275,1240,64,szfo,978
21.26,10904.35,1240,64,szfo,978
21.26,11260.25833,1240,64,szfo,978
21.28,6598.05,1240,64,szfo,978
21.28,15572.65,1240,64,szfo,978
21.3,13467.7,440,56,pfo,3159
21.3,11490.2,1240,64,szfo,978
21.31,7067.95,1240,64,szfo,978
21.31,4166.15,1240,64,szfo,978
21.32,11843.83333,1240,64,szfo,978
21.33,10829.61667,440,56,pfo,3159
21.33,7849.4,1240,64,szfo,978
21.34,5172.55,1240,64,szfo,978
21.36,6732.9,1240,64,szfo,978
21.37,13203.89167,440,56,pfo,3159
21.38,11032.15,1240,64,szfo,978
21.38,5183.516667,1240,64,szfo,978
21.38,7802.433333,1240,64,szfo,978
21.39,7693.525,1240,64,szfo,978
21.41,5259.125,1240,64,szfo,978
21.41,11575.95,1240,64,szfo,978
21.43,10469.45,1240,64,szfo,978
21.44,11030.31667,1240,64,szfo,978
21.45,16234.5,1240,64,szfo,978
21.47,5496.208333,1240,64,szfo,978
21.48,12041.16667,1240,64,szfo,978
21.49,6664.925,440,56,pfo,3159
21.49,15903.575,1240,64,szfo,978
21.5,5580.05,9170,43,dfo,1828
21.5,12379.6,1240,64,szfo,978
21.51,7911.341667,1240,64,szfo,978
21.51,17112.55,1240,64,szfo,978
21.52,9498.5,1240,64,szfo,978
21.53,4739.675,1240,64,szfo,978
21.53,8020.25,1240,64,szfo,978
21.54,6309.891667,9170,43,dfo,1828
21.54,12616.76667,1240,64,szfo,978
21.55,8131.9,1240,64,szfo,978
21.55,10699.2,1240,64,szfo,978
21.55,10699.4,1240,64,szfo,978
21.58,14579.875,1240,64,szfo,978
21.61,4818.283333,440,56,pfo,3159
21.61,12393.825,1240,64,szfo,978
21.61,13285.59167,1240,64,szfo,978
21.61,4089.925,1240,64,szfo,978
21.62,12839.70833,1240,64,szfo,978
21.62,6271.016667,1240,64,szfo,978
